,,,,,,,,,,,,,,,,
momentum+ rate confirmed correct,Beam Momentum Setting (MeV/c),Beam Momentum Measured (MeV/c),Beam Polarity,Run Number,VME Run Number,Trigger Config,Aerogel Index,Run Date,# Spills,# Muons,# Pions,pion max cut,muon min cut,muon max cut,statistics code comments,comments
,,,,Total,Total,,,,,42752,31200,,,,,
,370,344.54,Negative,1462,1496,LEP 5.1,1.075,4/10,337,9719,7082,4400,3500,13000,,
,370,347.67,Negative,1474,1510,LEP 5.1,1.06,4/11,331,9868,8017,2100,3300,11500,,
,370,347.42,Negative,1903,1746,LEP9Li v2.0,1.06,5/1,501,11327,8837,2100,3300,11000,,"""deadtime should have been 13000"""
,370,,Negative,1905,1747,LEP9Li v2.0,1.06,5/1,,,,,,,Odd behaviour (double clusters) seen in h_run1747_act2_vs_t0t1_e-veto.png plot from bruno's code,"""deadtime should have been 13000"""
,370,347.59,Negative,1907,1749,LEP9Li v2.0,1.06,5/2,767,16650,13358,2100,3300,11000,,
,370,348.04,Negative,1909,1750,LEP9Li v2.0,1.06,5/2,678,15104,12154,2100,3300,11500,,
,,,,Total,Total,,,,,62668,49448,,,,,
,380,361.04,Negative,1475,1511,LEP 5.1,1.06,4/11,259,8847,8245,3000,4000,12000,,
,,,,Total,Total,,,,,8847,8245,,,,,
,390,367.37,Negative,1476,1512,LEP 5.1,1.06,4/11,300,11242,12087,4000,5000,12000,,
,390,365.57,Negative,1918,1757,LEP9Li v2.0,1.06,5/2,208,5611,5586,3200,4000,12000,,
,390,365.99,Negative,1919,1758,LEP9Li v2.0,1.06,5/2,251,6267,6368,3200,3900,12000,,"""deadtime should have been 13000"""
,390,365.89,Negative,1920,1759,LEP9Li v2.0,1.06,5/2,173,4340,4385,3200,4200,11500,,
,390,367.6,Negative,1921,1760,LEP9Li v2.0,1.06,5/2,206,5053,5136,3200,4200,11500,,
,,,,Total,Total,,,,,32513,33562,,,,,
,400,285.1,Negative,1477,1533,LEP 5.1,1.06,4/11,339,4058,1059,1200,1800,9500,,
,400,378.05,Negative,1486,1515,LEP 5.1,1.047,4/11,328,9983,11493,1800,2500,10000,,
,,,,Total,Total,,,,,,,,,,,
,410,385.35,Negative,1478,1514,LEP 5.1,1.06,4/11,307,12789,16058,4800,5500,12000,,
,410,392.7,Negative,1488,1517,LEP 5.1,1.047,4/12,327,7692,10166,2400,3000,10500,,
,410,387.07,Negative,2087,1835,LEP 5.1,1.047,5/10,431,13375,17129,2100,3000,10500,,
,,,,Total,Total,,,,,33856,43353,,,,,
,420,398,Negative,1487,1516,LEP 5.1,1.047,4/12,341,11937,17331,2000,3000,10000,,
,420,394.12,Negative,2062,1818,LEP 5.1,1.047,5/9,258,8568,12124,2000,3000,10000,,
,420,394.73,Negative,2064,1819,LEP 5.1,1.047,5/9,260,8714,12271,2000,3000,10000,,
,420,393.22,Negative,2066,1820,LEP 5.1,1.047,5/9,42,1445,2010,2000,3000,10000,,RBU crashed
,420,393.48,Negative,2067,1821,LEP 5.1,1.047,5/9,47,1351,1915,2000,3000,10000,,dropped packets
,420,1131.94,Negative,2068,1822,LEP 5.1,1.047,5/9,51,878,1257,2000,3000,10000,,dropped packets
,420,2469.14,Negative,2069,1823,LEP 5.1,1.047,5/9,70,1945,2722,2000,3000,10000,,"dropped packets, RBU crashed"
,420,0,Negative,2070,1824,LEP 5.1,1.047,5/9,17,465,735,2000,3000,10000,,RBU crashed
,420,2839.22,Negative,2071,1825,LEP 5.1,1.047,5/9,65,1007,1509,2000,3000,10000,,
,420,392.19,Negative,2089,1836,LEP 5.1,1.047,5/10,163,6978,9187,2000,3000,11000,,
,,,,Total,Total,,,,,43288,61061,,,,,
,430,403.49,Negative,1489,1518,LEP 5.1,1.047,4/12,292,11058,16814,2700,3500,10500,,
,430,407.98,Negative,2042,1810,LEP 5.1,1.047,5/8,314,7741,12422,2700,3500,10500,,
,430,409.95,Negative,2044,1811,LEP 5.1,1.047,5/8,43,1212,1938,2700,3500,10500,,"""Stopped due to dropped packets"", according to the e-log, the issue was resolved by turning the laser off"
,430,404.18,Negative,2045,1812,LEP 5.1,1.047,5/8,13,318,512,2700,3500,10500,,"""Stopped due to dropped packets"", according to the e-log, the issue was resolved by turning the laser off"
,430,409.11,Negative,2046,1814,LEP 5.1,1.047,5/8,179,4680,7415,2700,3500,10500,,
,430,408.53,Negative,2058,1816,LEP 5.1,1.047,5/8,436,11660,18588,2700,3500,10500,,"""stopped due to dropped packets, RBU is dead, stop mPMTs run manually"""
,430,408.03,Negative,2060,1817,LEP 5.1,1.047,5/9,144,3968,6431,2700,3500,10500,,
,,,,Total,Total,,,,,40637,64120,,,,,
,440,416.32,Negative,1490,1519,LEP 5.1,1.047,4/12,329,7210,12944,2900,4000,10500,,
,440,412.41,Negative,2036,1807,LEP 5.1,1.047,5/8,316,6670,11762,2900,3800,10500,,
,440,412.3,Negative,2038,1808,LEP 5.1,1.047,5/8,459,9476,16856,2900,3800,10500,,
,440,412.56,Negative,2040,1809,LEP 5.1,1.047,5/8,238,4716,8525,2900,3800,10500,,
,,,,Total,Total,,,,,28072,50087,,,,,
,520,493.16,Negative,1497,1523,LEP 5.1,1.03,4/12,174,7733,24941,1100,1900,9000,,
,520,488.51,Negative,2107,1844,LEP 5.1,1.03,5/11,375,12377,41613,1100,1900,9000,,
,520,491.48,Negative,2110,1846,LEP 5.1,1.03,5/11,360,11695,39774,1100,1900,9000,,
,,,,Total,Total,,,,,31805,106328,,,,,
,530,500.89,Negative,1499,1524,LEP 5.1,1.03,4/12,186,8212,28441,1100,2000,8000,,
,530,504.81,Negative,2105,1843,LEP 5.1,1.03,5/11,514,14878,54012,1100,2000,8000,,
,530,494.91,Negative,2112,1847,LEP 5.1,1.03,5/11,239,8700,31226,1100,2000,8000,,
,,,,Total,Total,,,,,31790,113679,,,,,
,540,509.75,Negative,1501,1525,LEP 5.1,1.03,4/12,159,7874,27675,1100,2000,8000,,
,540,508.83,Negative,2103,1842,LEP 5.1,1.03,5/11,504,20090,74433,1100,2000,8000,,
,,,,Total,Total,,,,,27964,102108,,,,,
,,,,,,,,,,,,,,,,
,240,238.2,Positive,1510,1529,LEP 5.1,1.11,4/13,661,2031,211,800,1600,6500,,
,240,240.77,Positive,1893,1741,LEP 5.1,1.11,5/1,245,681,60,900,1200,7200,,
,,,,Total,Total,,,,,,,,,,,
,250,250.73,Positive,1373,1447,LEP 5.1,1.11,4/2,539,3238,381,1100,1800,8500,,
,250,235.09,Positive,1512,1530,LEP 5.1,1.11,4/13,741,2192,183,1000,1700,7000,,
,250,244.69,Positive,1883,1736,LEP 5.1,1.11,4/30,689,3397,374,1000,1700,8000,,
,250,245.36,Positive,1886,1737,LEP 5.1,1.11,4/30,654,3391,377,1000,1800,8000,,RBU crashed
,250,244.68,Positive,1888,1738,LEP 5.1,1.11,5/1,723,3958,450,1000,1700,8000,,
,250,245.16,Positive,1890,1739,LEP 5.1,1.11,5/1,750,4065,457,1000,1700,8000,,"""RBU crashed, and VME run accidentally ""quit"" not ""stop"""""
,250,245.44,Positive,1892,1740,LEP 5.1,1.11,5/1,40,214,30,1000,1700,8000,,
,,,,Total,Total,,,,,15025,1688,,,,,
,260,259.38,Positive,1361,1442,LEP 5.1,1.11,4/2,285,2084,305,1300,2200,9000,,
,260,257.08,Positive,1374,1448,LEP 5.1,1.11,4/3,447,3306,429,1400,2000,8500,,
,260,247.29,Positive,1514,1531,LEP 5.1,1.11,4/13,666,4260,480,1300,2000,8300,,
,260,255.43,Positive,1574,1558,LEP 5.1,1.11,4/16,530,3697,545,1200,2000,8300,,
,260,254.68,Positive,1576,1559,LEP 5.1,1.11,4/16,265,1823,263,1200,2000,8500,,
,260,247.48,Positive,1707,1647,LEP 5.1,1.11,4/22,400,2474,322,1200,1900,8000,,
,260,246.15,Positive,1711,1650,LEP 5.1,1.11,4/22,404,2577,299,1200,1500,8000,,
,260,246.41,Positive,1713,1651,LEP 5.1,1.11,4/23,523,3401,405,1200,1900,8000,,
,260,247.24,Positive,1775,1660,LEP 5.1,1.11,4/25,763,4885,544,1200,1900,8300,,
,260,246.7,Positive,1777,1661,LEP 5.1,1.11,4/25,598,3801,439,1200,1900,8000,,"""RBU crashed at end of run"""
,260,246.71,Positive,1779,1662,LEP 5.1,1.11,4/25,574,3783,395,1200,1900,8300,,
,,,,Total,Total,,,,,30701,3692,,,,,
,270,270.3,Positive,1375,1450,LEP 5.1,1.11,4/3,76,697,113,1500,2400,9000,,
,270,270.15,Positive,1376,1451,LEP 5.1,1.11,4/3,260,2102,441,1900,3000,9800,,
,270,256.56,Positive,1546,1546,LEP 5.1,1.11,4/15,411,3122,473,1100,2400,8600,,
,270,254.92,Positive,1556,1547,LEP 5.1,1.11,4/15,216,1763,232,1400,2300,8600,,
,270,261.03,Positive,1578,1560,LEP 5.1,1.11,4/16,741,5411,816,1400,2200,8900,,
,270,250.75,Positive,1715,1652,LEP 5.1,1.11,4/23,74,408,75,1200,2100,8400,,
,270,260.79,Positive,1718,1654,LEP 5.1,1.11,4/23,229,1289,190,1200,2400,8400,,"""Dropped packet in middle of run when required amount of pions not enough"""
,270,261.15,Positive,1748,1655,LEP 5.1,1.11,4/23,453,2677,403,1400,2000,8600,,
,270,260.17,Positive,1751,1656,LEP 5.1,1.11,4/24,479,2852,450,1500,2400,8600,,
,270,259.56,Positive,1753,1657,LEP 5.1,1.11,4/24,496,2922,441,1200,2100,8600,,
,270,261.22,Positive,1755,1658,LEP 5.1,1.11,4/24,545,3018,478,1300,2200,8400,,
,270,260.46,Positive,1773,1659,LEP 5.1,1.11,4/24,459,2753,467,1400,2100,8600,,
,,,,Total,Total,,,,,26215,4025,,,,,
,280,264.03,Positive,1560,1548,LEP 5.1,1.11,4/15,71,474,78,1400,2500,9000,,
,280,,Positive,1561,1549,LEP 5.1,1.11,4/15,,,,,,,,"from elog: "" Stopped: 12:37 due to dropped packets at 12:33:52.057 2025/04/15; had to stop manually - RBU disappeared, PMTs were running, forced stop."""
,280,262.87,Positive,1562,1549,LEP 5.1,1.11,4/15,480,3478,530,1400,2300,9000,,
,280,263.97,Positive,1562,1550,LEP 5.1,1.11,4/16,372,2653,389,1400,2300,9000,,
,280,265.79,Positive,1716,1653,LEP 5.1,1.11,4/23,692,6116,1090,1600,2500,9000,,
,,,,Total,Total,,,,,12721,2087,,,,,
,300,285.17,Positive,1518,1532,LEP 5.1,1.075,4/13,504,6189,1467,1000,1900,9000,,
,300,285.09,Positive,1520,1533,LEP 5.1,1.075,4/13,339,4000,987,1000,1900,9000,,"dropped packets, (noted to have been stopped immediately after)"
,300,285.3,Positive,1521,1534,LEP 5.1,1.075,4/13,174,2074,498,1000,2000,9000,,
,,,Positive,Total,Total,,,,,12263,2952,,,,,
,310,291.92,Positive,1522,1535,LEP 5.1,1.075,4/14,329,3718,1026,1200,2100,9000,,"dropped packets, (noted to have been stopped immediately after)"
,310,291.17,Positive,1524,1536,LEP 5.1,1.075,4/14,410,4473,1262,1200,2100,9000,,
,310,292.58,Positive,1526,1537,LEP 5.1,1.075,4/14,125,1239,315,1300,2000,9000,,
,,,,Total,Total,,,,,9430,2603,,,,,
,320,317.84,Positive,"1371, 1372",1445,LEP 5.1,1.075,4/2,223,3813,1692,2000,3000,11000,,"notes about multiple mPMT runs in elog, second run reports dropped packets, but attached plots seem to indicate a constant value (not increasing)"
,320,303.36,Positive,1529,1538,LEP 5.1,1.075,4/14,446,6818,2478,1800,2600,11000,,"some confusion regarding mPMT run number between spreadsheets, addressed in elog ""mPMT run: 1528 but seems like rather 1529 is running"""
,320,303.77,Positive,1531,1539,LEP 5.1,1.075,4/14,485,7538,2600,1800,2600,10500,,
,320,303.72,Positive,1641,1608,LEP 5.1,1.075,4/19,553,8926,3194,1800,2600,10300,,
